college rock,deathcore,hardcore punk,hyperpop,big room trance,freestyle,rhythm & blues,jazz bossa nova,,,neo-medieval folk,dangdut,reggaeton,,,,,,
comedy rock,deathgrind,horror punk,indie pop,bitcore,french rap,rhythm and blues,jazz funk,,,neofolk,danish folk,reggaetón,,,,,,
dark rock,depressive black metal,indie emo,italo pop,bitpop,g-funk,smooth soul,jazz fusion,,,nouvelle chanson française,enka,regional mexican,,,,,,
dark wave,depressive suicidal black metal,indie punk,j-pop,bitpunk,gangsta rap,soul,jazz guitar,,,nova canção,ethno-fusion,rumba,,,,,,
darkwave,dissonant black metal,irish folk punk,japanese pop,bleep techno,grime,southern soul,jazz hop,,,nueva canción,exotica,rumba catalana,,,,,,
death rock,dissonant death metal,melodic hardcore,jazz pop,braindance,hard rap,synth funk,jazz poetry,,,nueva trova,fado,rumba cubana,,,,,,
deathrock,djent,melodic punk,k-pop,breakbeat,hardcore hip hop,trap soul,jazz rap,,,pagan folk,flamenco,salsa,,,,,,
desert rock,djentcore,midwest emo,kayōkyoku,breakbeat hardcore,hardcore rap,urban contemporary,jazz standards,,,progressive folk,flamenco nuevo,salsa dura,,,,,,
dream pop,doom,neocrust,lounge,breakcore,hip hop,,jazz vocal,,,psych folk,forró,samba,,,,,,
drone rock,doom metal,nu punk,mandopop,breaks,hip house,,jazz-funk,,,psychedelic folk,forró eletrônico,samba-jazz,,,,,,
early rock and roll,doomgaze,oi!,new wave pop,breakstep,hip-hop,,jazz-hop,,,russian chanson,frevo,samba-rock,,,,,,
electronic rock,drone metal,old school punk,operatic pop,broken beat,hiplife,,jazz-pop,,,sea shanty,gagaku,son cubano,,,,,,
ethereal wave,electronic metal,pop punk,orchestral pop,brostep,horrorcore,,latin jazz,,,singer-songwriter,gamelan,son jarocho,,,,,,
experimental rock,epic black metal,post-hardcore,pop,bubblegum bass,hyphy,,modal jazz,,,traditional folk,ghazal,tango,,,,,,
flamenco rock,epic doom metal,post-screamo,psychedelic pop,bubblegum dance,industrial hip-hop,,new jazz,,,trova,griot,tejano,,,,,,
freakbeat,epic power metal,powerviolence,russian pop,celtic electronica,japanese hip hop,,nu jazz,,,,highlife,timba,,,,,,
french rock,experimental black metal,progressive punk,schlager,chicago house,jersey club rap,,nu-jazz,,,,hindi film music,zamba,,,,,,
funk rock,experimental metal,proto-punk,sophisti-pop,chillhop,jersey drill,,orchestral jazz,,,,huayno,,,,,,,
garage rock,folk metal,psychedelic punk,space age pop,chillstep,latin rap,,piano jazz,,,,isicathamiya,,,,,,,
garage rock revival,funk metal,punk,synth pop,chillsynth,latin trap,,post-bop,,,,iskelmä,,,,,,,
glam,glam metal,punk blues,synth-pop,chillwave,lo-fi hip hop,,psychedelic jazz,,,,javanese gamelan,,,,,,,
glam rock,goregrind,punk poetry,synthpop,chiptune,memphis rap,,punk jazz,,,,jit,,,,,,,
goth rock,gothic black metal,punk pop,techno pop,complextro,midwest rap,,ragtime,,,,joik,,,,,,,
gothic rock,gothic doom metal,punk revival,traditional pop,cutewave,neo-grime,,smooth jazz,,,,joropo,,,,,,,
gothwave,gothic metal,punk rock,yé-yé,dancefloor drum and bass,old school hip hop,,soul jazz,,,,kabyle music,,,,,,,
grunge,grindcore,raw punk,,dark disco,phonk,,soul-jazz,,,,kizomba,,,,,,,
grunge pop,groove metal,riot grrrl,,dark electro,plugg,,spiritual jazz,,,,klezmer,,,,,,,
hard rock,heavy metal,screamo,,dark psytrance,pluggnb,,swing,,,,kwela,,,,,,,
heavy psych,industrial metal,skate punk,,darkcore,pop rap,,swing revival,,,,luk thung,,,,,,,
heavy rock,mathcore,straight edge,,darkstep,post-trap,,third stream,,,,mahraganat,,,,,,,
hypnagogic pop,medieval folk metal,street punk,,darksynth,progressive rap,,traditional jazz,,,,makossa,,,,,,,
indie,medieval metal,thrashcore,,deathstep,punk rap,,vocal jazz,,,,maloya,,,,,,,
indie rock,melodic black metal,uk82,,deconstructed club,ragga hip-hop,,west african jazz,,,,manele,,,,,,,
industrial rock,melodic death metal,,,deep drum and bass,rap,,,,,,mbalax,,,,,,,
j-rock,melodic deathcore,,,deep dubstep,rapcore,,,,,,mbaqanga,,,,,,,
jangle pop,melodic doom metal,,,deep house,snap,,,,,,molam,,,,,,,
japanese rock,melodic heavy metal,,,deep jungle,southern hip hop,,,,,,mpb,,,,,,,
jazz rock,melodic metalcore,,,deep tech,southern rap,,,,,,mugham,,,,,,,
jazz-rock,melodic power metal,,,deep techno,trap,,,,,,musette,,,,,,,
k-indie,neoclassical metal,,,demoscene,trap rap,,,,,,new flamenco,,,,,,,
krautrock,neoclassical power metal,,,detroit techno,uk drill,,,,,,nordic folk,,,,,,,
madchester,neue deutsche härte,,,digicore,uk hip hop,,,,,,nuevo flamenco,,,,,,,
mainstream rock,nordic metal,,,digital hardcore,uk rap,,,,,,pagode,,,,,,,
mangue beat,norwegian black metal,,,dirty dutch,west coast hip hop,,,,,,polka,,,,,,,
math pop,nsbm,,,disco,,,,,,,raga,,,,,,,
math rock,nu metal,,,disco boogie,,,,,,,rai,,,,,,,
mathrock,nu-metal,,,disco fox,,,,,,,rebetiko,,,,,,,
medieval rock,nwobhm,,,disco house,,,,,,,saami,,,,,,,
melodic rock,nwofhm,,,disco polo,,,,,,,salegy,,,,,,,
merseybeat,old school death metal,,,discofox,,,,,,,sertanejo,,,,,,,
motorik,old school thrash metal,,,doomcore,,,,,,,sertanejo universitário,,,,,,,
neo rockabilly,oriental metal,,,downtempo,,,,,,,sevdalinka,,,,,,,
neo-prog,orthodox black metal,,,drill & bass,,,,,,,soca,,,,,,,
neo-psychedelia,pagan black metal,,,drum & bass,,,,,,,soukous,,,,,,,
neo-rockabilly,pagan metal,,,drum and bass,,,,,,,taarab,,,,,,,
neoclassical darkwave,post-metal,,,drumfunk,,,,,,,taiko,,,,,,,
neue deutsche welle,power metal,,,drumstep,,,,,,,tishoumaren,,,,,,,
new romantic,progressive death metal,,,dub techno,,,,,,,traditional fado,,,,,,,
new wave,progressive deathcore,,,dubstep,,,,,,,trot,,,,,,,
noise pop,progressive doom metal,,,ebm,,,,,,,turkish folk music,,,,,,,
noise rock,progressive folk metal,,,eccojams,,,,,,,tuvan throat singing,,,,,,,
nu gaze,progressive metal,,,electro,,,,,,,world beat,,,,,,,
paisley underground,progressive metalcore,,,electro breaks,,,,,,,world fusion,,,,,,,
piano rock,progressive power metal,,,electro house,,,,,,,world music,,,,,,,
pop rock,punk metal,,,electro swing,,,,,,,zouk,,,,,,,
post-grunge,rap metal,,,electro-disco,,,,,,,zydeco,,,,,,,
post-punk,raw black metal,,,electro-industrial,,,,,,,,,,,,,,
post-punk revival,reggae metal,,,electro-swing,,,,,,,,,,,,,,
post-rock,slam death metal,,,electroclash,,,,,,,,,,,,,,
power ballad,sludge,,,electronic,,,,,,,,,,,,,,
power pop,sludge metal,,,electronic dance music,,,,,,,,,,,,,,
progressive rock,southern metal,,,electronic hardcore,,,,,,,,,,,,,,
progressive stoner rock,stoner,,,electronica,,,,,,,,,,,,,,
psych rock,stoner doom,,,electronicore,,,,,,,,,,,,,,
psychedelic,stoner metal,,,ethnic downtempo,,,,,,,,,,,,,,
psychedelic rock,symphonic black metal,,,ethnic techno,,,,,,,,,,,,,,
psychobilly,symphonic death metal,,,ethnotronica,,,,,,,,,,,,,,
pub rock,symphonic gothic metal,,,euro dance,,,,,,,,,,,,,,
raga rock,symphonic metal,,,euro disco,,,,,,,,,,,,,,
rap rock,symphonic power metal,,,euro house,,,,,,,,,,,,,,
rock,technical death metal,,,euro-disco,,,,,,,,,,,,,,
rock & roll,technical deathcore,,,euro-house,,,,,,,,,,,,,,
rock and roll,technical thrash metal,,,euro-techno,,,,,,,,,,,,,,
rock opera,thrash metal,,,euro-trance,,,,,,,,,,,,,,
rockabilly,traditional doom metal,,,eurobeat,,,,,,,,,,,,,,
russian rock,traditional metal,,,eurodance,,,,,,,,,,,,,,
shoegaze,trap metal,,,experimental electronic,,,,,,,,,,,,,,
skiffle,viking metal,,,experimental techno,,,,,,,,,,,,,,
sleaze rock,war metal,,,extratone,,,,,,,,,,,,,,
slowcore,,,,folktronica,,,,,,,,,,,,,,
soft rock,,,,footwork,,,,,,,,,,,,,,
southern rock,,,,footwork jungle,,,,,,,,,,,,,,
space rock,,,,freeform hardcore,,,,,,,,,,,,,,
stoner rock,,,,french house,,,,,,,,,,,,,,
symphonic prog,,,,frenchcore,,,,,,,,,,,,,,
symphonic rock,,,,funky house,,,,,,,,,,,,,,
twee pop,,,,future bass,,,,,,,,,,,,,,
viking rock,,,,future bounce,,,,,,,,,,,,,,
visual kei,,,,future funk,,,,,,,,,,,,,,
yacht rock,,,,future garage,,,,,,,,,,,,,,
zamrock,,,,future house,,,,,,,,,,,,,,
,,,,future rave,,,,,,,,,,,,,,
,,,,futurepop,,,,,,,,,,,,,,
,,,,gabba,,,,,,,,,,,,,,
,,,,gabber,,,,,,,,,,,,,,
,,,,ghetto funk,,,,,,,,,,,,,,
,,,,ghetto house,,,,,,,,,,,,,,
,,,,ghettotech,,,,,,,,,,,,,,
,,,,glitch,,,,,,,,,,,,,,
,,,,glitch hop,,,,,,,,,,,,,,
,,,,glitch pop,,,,,,,,,,,,,,
,,,,glitchcore,,,,,,,,,,,,,,
,,,,glo-fi,,,,,,,,,,,,,,
,,,,goa,,,,,,,,,,,,,,
,,,,goa trance,,,,,,,,,,,,,,
,,,,gqom,,,,,,,,,,,,,,
,,,,groove techno,,,,,,,,,,,,,,
,,,,hands up,,,,,,,,,,,,,,
,,,,happy hardcore,,,,,,,,,,,,,,
,,,,hard dance,,,,,,,,,,,,,,
,,,,hard drum,,,,,,,,,,,,,,
,,,,hard house,,,,,,,,,,,,,,
,,,,hard nrg,,,,,,,,,,,,,,
,,,,hard techno,,,,,,,,,,,,,,
,,,,hard trance,,,,,,,,,,,,,,
,,,,hardbass,,,,,,,,,,,,,,
,,,,hardcore techno,,,,,,,,,,,,,,
,,,,hardgroove techno,,,,,,,,,,,,,,
,,,,hardstyle,,,,,,,,,,,,,,
,,,,hardstyle techno,,,,,,,,,,,,,,
,,,,hardtek,,,,,,,,,,,,,,
,,,,hardvapour,,,,,,,,,,,,,,
,,,,hardwave,,,,,,,,,,,,,,
,,,,hi-nrg,,,,,,,,,,,,,,
,,,,hi-tech psytrance,,,,,,,,,,,,,,
,,,,horror synth,,,,,,,,,,,,,,
,,,,house,,,,,,,,,,,,,,
,,,,hypnotic techno,,,,,,,,,,,,,,
,,,,idm,,,,,,,,,,,,,,
,,,,illbient,,,,,,,,,,,,,,
,,,,indie dance,,,,,,,,,,,,,,
,,,,indie dance / nu disco,,,,,,,,,,,,,,
,,,,indie electronic,,,,,,,,,,,,,,
,,,,indie house,,,,,,,,,,,,,,
,,,,indietronica,,,,,,,,,,,,,,
,,,,industrial,,,,,,,,,,,,,,
,,,,industrial hardcore,,,,,,,,,,,,,,
,,,,industrial techno,,,,,,,,,,,,,,
,,,,intelligent dance music,,,,,,,,,,,,,,
,,,,intelligent drum and bass,,,,,,,,,,,,,,
,,,,italo dance,,,,,,,,,,,,,,
,,,,italo disco,,,,,,,,,,,,,,
,,,,italo house,,,,,,,,,,,,,,
,,,,italo-disco,,,,,,,,,,,,,,
,,,,italodance,,,,,,,,,,,,,,
,,,,j-core,,,,,,,,,,,,,,
,,,,j-euro,,,,,,,,,,,,,,
,,,,jackin house,,,,,,,,,,,,,,
,,,,jazz house,,,,,,,,,,,,,,
,,,,jersey club,,,,,,,,,,,,,,
,,,,juke,,,,,,,,,,,,,,
,,,,jump up,,,,,,,,,,,,,,
,,,,jumpstyle,,,,,,,,,,,,,,
,,,,jungle,,,,,,,,,,,,,,
,,,,jungle drum & bass,,,,,,,,,,,,,,
,,,,jungle terror,,,,,,,,,,,,,,
,,,,kosmische musik,,,,,,,,,,,,,,
,,,,kuduro,,,,,,,,,,,,,,
,,,,kwaito,,,,,,,,,,,,,,
,,,,latin house,,,,,,,,,,,,,,
,,,,leftfield,,,,,,,,,,,,,,
,,,,leftfield drum and bass,,,,,,,,,,,,,,
,,,,lento violento,,,,,,,,,,,,,,
,,,,lo-fi,,,,,,,,,,,,,,
,,,,lo-fi house,,,,,,,,,,,,,,
,,,,melodic dubstep,,,,,,,,,,,,,,
,,,,melodic house,,,,,,,,,,,,,,
,,,,melodic techno,,,,,,,,,,,,,,
,,,,melodic trance,,,,,,,,,,,,,,
,,,,minimal drum and bass,,,,,,,,,,,,,,
,,,,minimal electro,,,,,,,,,,,,,,
,,,,minimal house,,,,,,,,,,,,,,
,,,,minimal synth,,,,,,,,,,,,,,
,,,,minimal techno,,,,,,,,,,,,,,
,,,,minimal trance,,,,,,,,,,,,,,
,,,,minimal wave,,,,,,,,,,,,,,
,,,,moombahcore,,,,,,,,,,,,,,
,,,,moombahton,,,,,,,,,,,,,,
,,,,mutant disco,,,,,,,,,,,,,,
,,,,neoperreo,,,,,,,,,,,,,,
,,,,neurofunk,,,,,,,,,,,,,,
,,,,new beat,,,,,,,,,,,,,,
,,,,new rave,,,,,,,,,,,,,,
,,,,nightcore,,,,,,,,,,,,,,
,,,,nitzhonot,,,,,,,,,,,,,,
,,,,nu disco,,,,,,,,,,,,,,
,,,,nu skool breaks,,,,,,,,,,,,,,
,,,,nu-disco,,,,,,,,,,,,,,
,,,,organic house,,,,,,,,,,,,,,
,,,,outrun,,,,,,,,,,,,,,
,,,,phonk house,,,,,,,,,,,,,,
,,,,post-disco,,,,,,,,,,,,,,
,,,,post-dubstep,,,,,,,,,,,,,,
,,,,progressive electronic,,,,,,,,,,,,,,
,,,,progressive house,,,,,,,,,,,,,,
,,,,progressive trance,,,,,,,,,,,,,,
,,,,psybient,,,,,,,,,,,,,,
,,,,psychedelic techno,,,,,,,,,,,,,,
,,,,psychedelic trance,,,,,,,,,,,,,,
,,,,psytrance,,,,,,,,,,,,,,
,,,,ragga jungle,,,,,,,,,,,,,,
,,,,rave,,,,,,,,,,,,,,
,,,,rawstyle,,,,,,,,,,,,,,
,,,,riddim dubstep,,,,,,,,,,,,,,
,,,,ritual trance,,,,,,,,,,,,,,
,,,,seapunk,,,,,,,,,,,,,,
,,,,slap house,,,,,,,,,,,,,,
,,,,spacesynth,,,,,,,,,,,,,,
,,,,speedcore,,,,,,,,,,,,,,
,,,,splittercore,,,,,,,,,,,,,,
,,,,synthwave,,,,,,,,,,,,,,
,,,,tech house,,,,,,,,,,,,,,
,,,,tech trance,,,,,,,,,,,,,,
,,,,techno,,,,,,,,,,,,,,
,,,,techno bass,,,,,,,,,,,,,,
,,,,techstep,,,,,,,,,,,,,,
,,,,trance,,,,,,,,,,,,,,
,,,,tribal house,,,,,,,,,,,,,,
,,,,tribal techno,,,,,,,,,,,,,,
,,,,trip hop,,,,,,,,,,,,,,
,,,,trip-hop,,,,,,,,,,,,,,
,,,,uk bass,,,,,,,,,,,,,,
,,,,uk funky,,,,,,,,,,,,,,
,,,,uk garage,,,,,,,,,,,,,,
,,,,uk hardcore,,,,,,,,,,,,,,
,,,,uptempo hardcore,,,,,,,,,,,,,,
,,,,vaporwave,,,,,,,,,,,,,,
,,,,vocal trance,,,,,,,,,,,,,,
,,,,witch house,,,,,,,,,,,,,,
